time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
6.505 0.538155 0.0990039 0.174013 -16.2467 -16.2467 0.00469167 2 0.418331 0.0373874 0.125279 forward
6.605 0.531238 0.0910044 0.182047 -16.1563 -16.1563 0.00480467 2 0.377214 0.0409552 0.0901836 forward
6.705 0.533176 0.0728173 0.194596 -16.0151 -16.0151 0.00498119 2 0.333929 0.0368168 0.0495623 forward
6.805 0.544381 0.0733086 0.195564 -16.0042 -16.0042 0.00499481 2 0.300834 0.0433624 0.00891123 forward
6.905 0.552001 0.0681013 0.167236 -16.3229 -16.3229 0.00459634 2 0.266601 0.0383498 -0.03521 forward
7.005 0.565268 0.0536767 0.126043 -16.7865 -16.7865 0.00401691 2 0.230913 0.0383762 -0.0801569 forward
7.105 0.573668 0.0500079 0.125356 -16.7942 -16.7942 0.00400726 2 0.200223 0.0423478 -0.125263 forward
7.205 0.572358 0.0530821 0.168574 -16.3079 -16.3079 0.00461516 2 0.158736 0.0406542 -0.175545 forward
7.305 0.575857 0.0399251 0.130364 -16.7378 -16.7378 0.0040777 2 0.123189 0.039249 -0.217249 forward
7.405 0.588305 0.0478771 0.211774 11.084 -15.8217 0.00522281 2 0.0907084 0.0347944 -0.262849 left
7.505 0.599382 0.221041 0.368395 -14.0593 -14.0593 0.00742584 2 0.0651339 0.044718 -0.308736 forward
7.605 0.614474 0.18135 0.335685 11.084 -14.4274 0.00696574 2 0.0358672 0.0420461 -0.349996 left
7.705 0.587521 0.250327 0.292563 -14.9127 -14.9127 0.00635919 2 0.0210013 0.0438855 -0.370871 forward
7.805 0.58748 0.204621 0.255048 11.084 -15.3348 0.0058315 2 -0.00563545 0.0487567 -0.395962 left
7.905 0.532966 0.189631 0.369038 -14.0521 -14.0521 0.00743489 2 -0.0397038 0.051547 -0.412718 forward
8.005 0.46814 0.240683 0.327437 -14.5202 -14.5202 0.00684973 2 -0.0553433 0.05002 -0.428668 forward
8.105 0.45418 0.187922 0.256477 -15.3187 -15.3187 0.0058516 2 -0.0814227 0.0543896 -0.429539 forward
8.205 0.447081 0.141581 0.301474 -14.8124 13.828 0.00648453 2 -0.131298 0.0451952 -0.423575 right
8.305 0.444506 0.254309 0.392269 -13.7907 -13.7907 0.00776165 2 -0.188422 0.0432862 -0.422108 forward
8.405 0.439226 0.212896 0.340478 -14.3735 13.828 0.00703316 2 -0.236525 0.0430777 -0.416704 right
8.505 0.448155 0.245621 0.339237 -14.3874 -14.3874 0.00701571 2 -0.263236 0.0383286 -0.414484 forward
8.605 0.45977 0.216941 0.260148 -15.2774 -15.2774 0.00590324 2 -0.289147 0.0537357 -0.418057 forward
8.705 0.459564 0.205699 0.264938 -15.2235 -15.2235 0.00597062 2 -0.34601 0.0407512 -0.42681 forward
8.805 0.459937 0.179923 0.251517 -15.3745 -15.3745 0.00578184 2 -0.40346 0.0460068 -0.441291 forward
8.9 0.447676 0.153243 0.251195 -15.3781 13.828 0.00577731 3 -0.451025 0.0393835 -0.456527 right
9 0.113687 0.148083 0.23223 -15.5916 13.828 0.00551055 3 -0.480861 0.0409674 -0.463561 right
9.1 0.197741 0.162621 0.256599 -15.3173 13.828 0.00585333 3 -0.480525 0.0375633 -0.459715 right
9.2 0.292537 0.131943 0.21221 -15.8168 13.828 0.00522895 3 -0.469584 0.0437436 -0.457859 right
9.3 0.399406 0.110073 0.254981 -15.3356 -15.3356 0.00583056 3 -0.46043 0.041295 -0.458026 forward
9.4 0.4151 0.10488 0.217825 -15.7537 13.828 0.00530793 3 -0.426062 0.038896 -0.471577 right
9.5 0.435282 0.226218 0.306103 -14.7603 -14.7603 0.00654965 3 -0.403757 0.04277 -0.493261 forward
9.6 0.426735 0.189802 0.260661 -15.2716 13.828 0.00591046 3 -0.359646 0.0389574 -0.507465 right
9.7 0.456831 0.245808 0.277046 -15.0873 -15.0873 0.00614094 3 -0.345528 0.0375271 -0.512114 forward
9.8 0.454096 0.19517 0.283886 -15.0103 -15.0103 0.00623714 3 -0.301658 0.0375875 -0.523898 forward
9.9 0.451911 0.147623 0.239854 -15.5058 13.828 0.00561779 3 -0.25233 0.0408499 -0.532842 right
10 0.503753 0.150855 0.230612 -15.6098 -15.6098 0.00548779 3 -0.236362 0.0356198 -0.535689 forward
10.1 0.554913 0.113449 0.222494 -15.7011 -15.7011 0.00537359 3 -0.214085 0.0382484 -0.53184 forward
10.2 0.559725 0.0855229 0.21416 -15.7949 -15.7949 0.00525637 3 -0.164337 0.0390321 -0.514516 forward
10.3 0.564869 0.0643471 0.208573 -15.8578 -15.8578 0.00517779 3 -0.117478 0.042455 -0.49078 forward
10.4 0.571084 0.0492396 0.226065 -15.6609 -15.6609 0.00542382 3 -0.067205 0.0357335 -0.470196 forward
10.5 0.577413 0.0381879 0.220238 -15.7265 -15.7265 0.00534186 3 -0.019027 0.0367072 -0.451342 forward
10.6 0.584758 0.0300673 0.204215 11.084 -15.9068 0.00511649 3 0.0308192 0.0364699 -0.429828 left
10.7 0.553074 0.135094 0.246122 -15.4352 -15.4352 0.00570596 3 0.0699334 0.0405451 -0.427582 forward
10.8 0.556666 0.105171 0.196982 -15.9882 -15.9882 0.00501475 3 0.115394 0.0393821 -0.420074 forward
10.9 0.564574 0.0895722 0.152416 -16.4897 -16.4897 0.00438788 3 0.168676 0.0398095 -0.410565 forward
11 0.58376 0.0864797 0.14765 11.084 -16.5433 0.00432085 3 0.22576 0.0397893 -0.399857 left
11.1 0.560259 0.134837 0.238781 -15.5178 -15.5178 0.00560269 3 0.274307 0.036971 -0.398588 forward
11.2 0.573884 0.102454 0.188394 -16.0848 -16.0848 0.00489395 3 0.325105 0.036357 -0.4011 forward
11.3 0.58577 0.0857852 0.243759 11.084 -15.4618 0.00567271 3 0.380994 0.0417842 -0.407656 left
11.4 0.606865 0.158774 0.251336 11.084 -15.3766 0.0057793 3 0.427253 0.042079 -0.4101 left
11.5 0.556907 0.179036 0.222313 -15.7032 -15.7032 0.00537105 3 0.441141 0.0513447 -0.423328 forward
11.6 0.552658 0.14122 0.174356 -16.2428 -16.2428 0.00469649 3 0.466051 0.0456831 -0.434456 forward
