time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z state
11 0.424191 0.127386 0.244833 -12.6906 12.6906 0.00912757 2 0.148392 0.0422521 0.330901 right
11.1 0.461781 0.175649 0.276187 -12.4441 -12.4441 0.00943548 2 0.124144 0.0491074 0.330383 forward
11.2 0.488708 0.137148 0.217035 -12.9092 -12.9092 0.00885459 2 0.103206 0.0484272 0.327478 forward
11.3 0.496891 0.118325 0.282614 -12.3935 -12.3935 0.00949859 2 0.0750392 0.0505994 0.283112 forward
11.4 0.489837 0.112794 0.231621 -12.7945 -12.7945 0.00899783 2 0.0462307 0.0404995 0.253608 forward
11.5 0.48352 0.0850654 0.22677 -12.8327 -12.8327 0.00895019 2 0.016712 0.0419471 0.216788 forward
11.6 0.485195 0.0779932 0.189359 -13.1269 -13.1269 0.0085828 2 -0.0156436 0.0469621 0.181149 forward
11.7 0.497723 0.101413 0.161239 -13.348 -13.348 0.00830667 2 -0.0420583 0.0484309 0.140948 forward
11.8 0.506107 0.0852353 0.266138 -12.5231 -12.5231 0.00933679 2 -0.0735568 0.0502353 0.0861106 forward
11.9 0.494382 0.0953885 0.291345 -12.3249 -12.3249 0.00958433 2 -0.0995792 0.0472002 0.0415836 forward
12 0.512341 0.0952207 0.307196 -12.2002 -12.2002 0.00973998 2 -0.120163 0.052507 0.00316254 forward
12.1 0.511081 0.12451 0.236836 -12.7535 -12.7535 0.00904904 2 -0.149383 0.0415608 -0.0453065 forward
12.2 0.506923 0.100082 0.244774 -12.6911 -12.6911 0.00912699 2 -0.173719 0.0378147 -0.0867757 forward
12.3 0.515035 0.10592 0.268464 -12.5048 -12.5048 0.00935964 2 -0.196096 0.0439987 -0.128501 forward
12.4 0.526688 0.103663 0.212692 -12.9434 -12.9434 0.00881194 2 -0.218102 0.0389446 -0.173013 forward
12.5 0.506844 0.102314 0.181653 -13.1875 -13.1875 0.00850713 2 -0.236779 0.0547331 -0.194775 forward
12.6 0.498386 0.100368 0.165998 -13.3106 -13.3106 0.0083534 2 -0.266951 0.0660859 -0.22465 forward
12.7 0.473696 0.110912 0.160477 -13.354 -13.354 0.00829918 2 -0.295278 0.0685395 -0.250444 forward
12.8 0.430476 0.186574 0.153134 -13.1488 13.1488 0.00855546 2 -0.301437 0.0773378 -0.249166 right
12.9 0.393969 0.236883 0.209175 -12.7532 12.7532 0.0090495 2 -0.307459 0.0743411 -0.239199 right
13 0.412008 0.412823 0.213238 -11.3696 -11.3696 0.0107773 2 -0.300498 0.0764926 -0.228032 forward
13.1 0.363577 0.385709 0.227088 -11.5828 11.5828 0.010511 2 -0.302334 0.0864767 -0.22419 right
13.2 0.37527 0.437367 0.219597 -11.1765 11.1765 0.0110183 2 -0.298513 0.0669751 -0.226237 right
13.3 0.381016 0.44931 0.177494 -11.0826 11.0826 0.0111356 2 -0.297695 0.0669591 -0.225309 right
13.4 0.439791 0.345485 0.19249 -11.8991 -11.8991 0.010116 2 -0.293517 0.069884 -0.221607 forward
13.5 0.457188 0.33278 0.287515 -11.999 -11.999 0.00999123 2 -0.289074 0.0667611 -0.225248 forward
13.6 0.399473 0.344505 0.326858 -11.9068 11.9068 0.0101064 2 -0.301105 0.07103 -0.222207 right
13.7 0.411773 0.360502 0.386209 -11.5789 -11.5789 0.0105159 2 -0.300358 0.0686665 -0.212638 forward
