time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z angle_norm
7.805 0.165829 0.1941 0.102677 -20 6.7337 0 3 -0.507169 0.0302688 -0.544179 -0.668343
7.905 0.228015 0.204598 0.0931733 -20 1.75877 0 3 -0.514109 0.0326016 -0.556525 -0.543969
8.005 0.277006 0.236061 0.118036 -20 -2.16046 0 3 -0.513386 0.0298878 -0.577096 -0.445988
8.105 0.330633 0.222015 0.0956196 -20 -6.45063 0 3 -0.501527 0.0346981 -0.60625 -0.338734
8.205 0.356365 0.199705 0.0788777 -20 -8.50919 0 3 -0.474168 0.0379659 -0.628356 -0.28727
8.305 0.376884 0.178696 0.125321 -20 -10.1507 0 3 -0.445673 0.0360538 -0.652203 -0.246233
8.405 0.402593 0.15677 0.1144 -20 -12.2074 0 3 -0.409668 0.0337042 -0.673839 -0.194814
8.505 0.415905 0.159624 0.104085 -20 -13.2724 0 3 -0.364781 0.0360176 -0.695497 -0.168191
8.605 0.416222 0.124178 0.104824 -20 -13.2978 0 3 -0.315785 0.0359736 -0.708605 -0.167555
8.705 0.441851 0.0999918 0.0914864 -20 -15.3481 0 3 -0.265296 0.0415054 -0.71874 -0.116297
8.805 0.462755 0.080229 0.0922529 -20 -17.0204 0 3 -0.216064 0.0362658 -0.726854 -0.0744896
8.9 0.484885 0.0856748 0.0954139 -20 -18.7908 0 3 -0.166561 0.0401521 -0.718129 -0.03023
9 0.497943 0.0814315 0.0747524 -20 -19.8354 0 3 -0.102596 0.0395573 -0.704789 -0.00411464
9.1 0.494758 0.0718269 0.10545 -20 -19.5806 0 3 -0.0451871 0.0370177 -0.692589 -0.010484
9.2 0.49717 0.0735874 0.119242 -20 -19.7736 0 3 0.0187858 0.0451347 -0.677022 -0.00565958
9.3 0.493608 0.0781163 0.10061 -20 -19.4886 0 3 0.0813888 0.0404811 -0.658368 -0.0127848
9.4 0.485742 0.0749227 0.0817047 -20 -18.8593 0 3 0.146744 0.0394774 -0.639082 -0.0285169
9.5 0.48121 0.0626527 0.104795 -20 -18.4968 0 3 0.205277 0.0359874 -0.618656 -0.0375791
9.6 0.473773 0.0657873 0.111549 -20 -17.9018 0 3 0.264224 0.0374586 -0.606987 -0.052454
9.7 0.470641 0.0553202 0.149561 -20 -17.6513 0 3 0.323179 0.0416257 -0.592357 -0.0587174
9.8 0.463371 0.0564072 0.123695 -20 -17.0697 0 3 0.377806 0.0368348 -0.572348 -0.0732584
9.9 0.457433 0.0527928 0.0974133 -20 -16.5947 0 3 0.428938 0.0378452 -0.554643 -0.085133
