time angle_scaled angular_speed_error_scaled linear_speed_error_scaled left_speed right_speed weg_extension target_idx x y z l r w
9.2 0.92452 0.1229 1.59343 15.1513 20 0 3 -0.35765 0.0345378 -0.634189 0.878782 1 0
9.3 0.932037 0.0963799 1.61384 16.1978 20 0 3 -0.306458 0.0344264 -0.648934 0.904946 1 0
9.4 0.946526 0.0858716 1.72049 18.4821 20 0 3 -0.255656 0.0343634 -0.656169 0.962051 1 0
9.5 0.953332 0.0662427 1.86061 19.5125 20 0 3 -0.201207 0.0384106 -0.661298 0.987813 1 0
9.6 0.953039 0.0645566 1.93168 19.4899 20 0 3 -0.138251 0.0349761 -0.665823 0.987248 1 0
9.7 0.94683 0.0618627 1.97809 18.5131 20 0 3 -0.0774072 0.0340477 -0.66934 0.962828 1 0
9.8 0.954939 0.0468159 1.93734 19.6909 20 0 3 -0.0216749 0.0374623 -0.668746 0.992273 1 0
9.9 0.955998 0.0481847 1.98376 19.8884 20 0 3 0.0357301 0.042876 -0.664987 0.99721 1 0
10 0.965103 0.0627413 2.0715 20 20 0 3 0.0840079 0.0417766 -0.660543 1 1 0
10.1 0.951921 0.0564106 1.98482 19.291 20 0 3 0.145322 0.0446071 -0.653986 0.982274 1 0
10.2 0.934337 0.0625681 2.02486 16.5608 20 0 3 0.194908 0.0428665 -0.651986 0.91402 1 0
10.3 0.903891 0.0780673 2.01651 11.8252 20 0 3 0.255287 0.0356562 -0.654527 0.795629 1 0
10.4 0.915011 0.0709732 1.92733 13.5029 20 0 3 0.304178 0.0390695 -0.648407 0.837572 1 0
10.5 0.92534 0.0581535 1.88365 15.0437 20 0 3 0.353871 0.0405746 -0.637238 0.876093 1 0
10.6 0.915151 0.0545642 1.84873 13.393 20 0 3 0.402059 0.0389334 -0.625331 0.834824 1 0
10.7 0.887697 0.0684323 1.80386 9.10433 20 0 3 0.448176 0.0374104 -0.608513 0.727608 1 0
10.8 0.849701 0.084601 1.73887 3.15014 20 0 3 0.487391 0.0384781 -0.591258 0.578754 1 0
10.9 0.808208 0.11681 1.57606 -3.31132 20 0 3 0.518183 0.0350468 -0.570256 0.417217 1 0
