% # columns="iteration, evaluation, void, void, void, xmean", seed=79710, Mon Jan 15 12:14:22 2018, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
48 528 0 0 0 5.24383761557 1.05239595641 10.8581228327 -0.0909302035277 1.34033969326 0.904639863498 14.7380044249 13.6219583168 10.444453903 -7.6993945025 9.63400586452 -0.13211679193 8.70939222643 11.0663492989
49 539 0 0 0 5.64620553932 1.84738103112 11.4040503313 -0.0801233786994 1.15275129812 1.07688390453 14.9852947764 13.5382746547 11.4217648669 -6.99216411424 9.53296614436 -0.627622311154 8.79565203587 10.7594061983
50 550 0 0 0 5.16463070618 1.762011785 12.0288487769 -0.128226848852 0.871281184201 1.24553890415 14.7684151662 13.8603659247 11.880810528 -6.91216305211 9.35254589816 -0.0537679837238 9.19578377972 10.693908956
51 561 0 0 0 5.20149821294 1.52148595159 11.4721006112 0.0120371508564 0.60436910986 1.24210484097 14.8137081253 14.5050725707 12.1630561274 -6.88158769849 9.36725273151 -0.227070449082 9.11968873107 11.1232248407
52 572 0 0 0 4.83359432554 1.62175723347 12.0951631658 -1.00927944308 0.897980688414 1.19700632225 14.9782310528 14.8997084386 12.2269303142 -7.11672982053 9.36298045255 0.0973965268282 9.24295530929 11.0157296847
53 583 0 0 0 5.63945340031 2.00956623673 10.7632631889 -0.955119130714 1.0926677526 1.2607744016 14.0056608419 14.6936598851 12.1260338533 -7.69682077511 9.45432884032 0.247749324208 8.87279889899 11.1066331609
54 594 0 0 0 5.54186841748 2.96596212396 11.4297349207 -0.948731787872 1.39592935236 1.00157993388 14.1625795879 14.434905848 13.3131076058 -7.48133829021 10.0783011127 0.140468261603 9.34951712073 10.8367169622
55 605 0 0 0 5.51223187631 3.34689298998 11.3010877458 -0.837992299155 1.37600511144 0.797959812563 14.0916585579 14.6772998785 13.7192503977 -7.41903909387 9.73673510549 0.50622899347 8.99679146017 10.7568137052
56 616 0 0 0 5.53144053317 2.97754969071 11.0865642996 -0.918724357417 1.04055471899 0.363288829234 13.8893679821 15.4479100685 13.7588816481 -7.61929817922 9.99948797047 0.879435730525 9.11050663952 10.309147345
57 627 0 0 0 5.2892763879 3.20389365466 10.9770106102 -1.03255935092 1.46426845047 0.571297761916 14.1236562832 15.3281928951 12.6535598507 -8.29384872759 10.7597066905 0.0434471274475 9.84958007132 10.5689802261
