angle,angular error,linear error,left speed,right speed,extension
0,0.7,0.5,0,0,1.4922
0,0.7,0.6,0,0,1.3897
0,0.7,0.7,0,0,1.2872
0,0.7,0.8,0,0,1.1847
0,0.7,0.9,0,0,1.0822
0,0.7,1,0,0,0.9797
0,0.8,0,0,0,2.1048
0,0.8,0.1,0,0,2.0023
0,0.8,0.2,0,0,1.8998
0,0.8,0.3,0,0,1.7973
0,0.8,0.4,0,0,1.6948
0,0.8,0.5,0,0,1.5923
0,0.8,0.6,0,0,1.4898
0,0.8,0.7,0,0,1.3873
0,0.8,0.8,0,0,1.2848
0,0.8,0.9,0,0,1.1823
0,0.8,1,0,0,1.0798
0,0.9,0,0,0,2.2049
0,0.9,0.1,0,0,2.1024
0,0.9,0.2,0,0,1.9999
0,0.9,0.3,0,0,1.8974
0,0.9,0.4,0,0,1.7949
0,0.9,0.5,0,0,1.6924
0,0.9,0.6,0,0,1.5899
0,0.9,0.7,0,0,1.4874
0,0.9,0.8,0,0,1.3849
0,0.9,0.9,0,0,1.2824
0,0.9,1,0,0,1.1799
0,1,0,0,0,2.305
0,1,0.1,0,0,2.2025
0,1,0.2,0,0,2.1
0,1,0.3,0,0,1.9975
0,1,0.4,0,0,1.895
0,1,0.5,0,0,1.7925
0,1,0.6,0,0,1.69
0,1,0.7,0,0,1.5875
0,1,0.8,0,0,1.485
0,1,0.9,0,0,1.3825
0,1,1,0,0,1.28
0.1,0,0,0.335769,0,2.46545
0.1,0,0.1,0.311669,0,2.36295
0.1,0,0.2,0.287569,0,2.26045
0.1,0,0.3,0.263469,0,2.15795
0.1,0,0.4,0.239369,0,2.05545
0.1,0,0.5,0.215269,0,1.95295
0.1,0,0.6,0.191169,0,1.85045
0.1,0,0.7,0.167069,0,1.74795
0.1,0,0.8,0.142969,0,1.64545
0.1,0,0.9,0.118869,0,1.54295
0.1,0,1,0.0947689,0,1.44045
0.1,0.1,0,0.213269,0,2.56555
0.1,0.1,0.1,0.189169,0,2.46305
0.1,0.1,0.2,0.165069,0,2.36055
0.1,0.1,0.3,0.140969,0,2.25805
0.1,0.1,0.4,0.116869,0,2.15555
0.1,0.1,0.5,0.0927689,0,2.05305
0.1,0.1,0.6,0.0686689,0,1.95055
0.1,0.1,0.7,0.0445689,0,1.84805
0.1,0.1,0.8,0.0204689,0,1.74555
0.1,0.1,0.9,0,0,1.64305
0.1,0.1,1,0,0,1.54055
0.1,0.2,0,0.0907689,0,2.66565
0.1,0.2,0.1,0.0666689,0,2.56315
0.1,0.2,0.2,0.0425689,0,2.46065
0.1,0.2,0.3,0.0184689,0,2.35815
0.1,0.2,0.4,0,0,2.25565
0.1,0.2,0.5,0,0,2.15315
0.1,0.2,0.6,0,0,2.05065
0.1,0.2,0.7,0,0,1.94815
0.1,0.2,0.8,0,0,1.84565
0.1,0.2,0.9,0,0,1.74315
0.1,0.2,1,0,0,1.64065
0.1,0.3,0,0,0,2.76575
0.1,0.3,0.1,0,0,2.66325
0.1,0.3,0.2,0,0,2.56075
0.1,0.3,0.3,0,0,2.45825
0.1,0.3,0.4,0,0,2.35575
0.1,0.3,0.5,0,0,2.25325
0.1,0.3,0.6,0,0,2.15075
0.1,0.3,0.7,0,0,2.04825
0.1,0.3,0.8,0,0,1.94575
0.1,0.3,0.9,0,0,1.84325
0.1,0.3,1,0,0,1.74075
0.1,0.4,0,0,0,2.86585
0.1,0.4,0.1,0,0,2.76335
0.1,0.4,0.2,0,0,2.66085
0.1,0.4,0.3,0,0,2.55835
0.1,0.4,0.4,0,0,2.45585
0.1,0.4,0.5,0,0,2.35335
0.1,0.4,0.6,0,0,2.25085
0.1,0.4,0.7,0,0,2.14835
0.1,0.4,0.8,0,0,2.04585
0.1,0.4,0.9,0,0,1.94335
0.1,0.4,1,0,0,1.84085
0.1,0.5,0,0,0,2.96595
0.1,0.5,0.1,0,0,2.86345
0.1,0.5,0.2,0,0,2.76095
0.1,0.5,0.3,0,0,2.65845
0.1,0.5,0.4,0,0,2.55595
0.1,0.5,0.5,0,0,2.45345
0.1,0.5,0.6,0,0,2.35095
0.1,0.5,0.7,0,0,2.24845
0.1,0.5,0.8,0,0,2.14595
0.1,0.5,0.9,0,0,2.04345
0.1,0.5,1,0,0,1.94095
0.1,0.6,0,0,0,3.06605
0.1,0.6,0.1,0,0,2.96355
0.1,0.6,0.2,0,0,2.86105
0.1,0.6,0.3,0,0,2.75855
0.1,0.6,0.4,0,0,2.65605
0.1,0.6,0.5,0,0,2.55355
0.1,0.6,0.6,0,0,2.45105
0.1,0.6,0.7,0,0,2.34855
0.1,0.6,0.8,0,0,2.24605
0.1,0.6,0.9,0,0,2.14355
0.1,0.6,1,0,0,2.04105
0.1,0.7,0,0,0,3.16615
0.1,0.7,0.1,0,0,3.06365
0.1,0.7,0.2,0,0,2.96115
0.1,0.7,0.3,0,0,2.85865
0.1,0.7,0.4,0,0,2.75615
0.1,0.7,0.5,0,0,2.65365
0.1,0.7,0.6,0,0,2.55115
0.1,0.7,0.7,0,0,2.44865
0.1,0.7,0.8,0,0,2.34615
0.1,0.7,0.9,0,0,2.24365
0.1,0.7,1,0,0,2.14115
0.1,0.8,0,0,0,3.26625
0.1,0.8,0.1,0,0,3.16375
0.1,0.8,0.2,0,0,3.06125
0.1,0.8,0.3,0,0,2.95875
0.1,0.8,0.4,0,0,2.85625
0.1,0.8,0.5,0,0,2.75375
0.1,0.8,0.6,0,0,2.65125
0.1,0.8,0.7,0,0,2.54875
0.1,0.8,0.8,0,0,2.44625
0.1,0.8,0.9,0,0,2.34375
0.1,0.8,1,0,0,2.24125
