Angle,Linear Error,Angular Error,Left Speed,Right Speed,Weg Extension
0.1,0.4,0.8,0.208132,0.486958,0.947728
0.1,0.4,0.9,0.197854,0.543594,0.961732
0.1,0.4,1,0.187963,0.599125,0.972094
0.1,0.5,0,0.34944,0.125184,0.58718
0.1,0.5,0.1,0.335137,0.152228,0.663475
0.1,0.5,0.2,0.321131,0.183887,0.732103
0.1,0.5,0.3,0.307439,0.220418,0.791142
0.1,0.5,0.4,0.294078,0.261878,0.840012
0.1,0.5,0.5,0.281062,0.308055,0.879194
0.1,0.5,0.6,0.268403,0.35842,0.90981
0.1,0.5,0.7,0.256111,0.412115,0.933256
0.1,0.5,0.8,0.244194,0.467986,0.950936
0.1,0.5,0.9,0.232659,0.524672,0.964113
0.1,0.5,1,0.221508,0.58073,0.973848
0.1,0.6,0,0.39769,0.11709,0.603251
0.1,0.6,0.1,0.382573,0.142671,0.678204
0.1,0.6,0.2,0.367681,0.172747,0.744983
0.1,0.6,0.3,0.353036,0.207628,0.801951
0.1,0.6,0.4,0.338663,0.247446,0.848776
0.1,0.6,0.5,0.324581,0.292085,0.886102
0.1,0.6,0.6,0.310809,0.341126,0.915137
0.1,0.6,0.7,0.297364,0.393821,0.937293
0.1,0.6,0.8,0.284262,0.449107,0.953956
0.1,0.6,0.9,0.271513,0.50568,0.966351
0.1,0.6,1,0.259129,0.562108,0.975494
0.1,0.7,0,0.448014,0.109454,0.619102
0.1,0.7,0.1,0.432357,0.133619,0.692587
0.1,0.7,0.2,0.416835,0.162148,0.757448
0.1,0.7,0.3,0.401476,0.195395,0.812333
0.1,0.7,0.4,0.386308,0.233558,0.85714
0.1,0.7,0.5,0.371357,0.276612,0.892663
0.1,0.7,0.6,0.356649,0.324245,0.920176
0.1,0.7,0.7,0.342206,0.37582,0.941102
0.1,0.7,0.8,0.32805,0.430373,0.956799
0.1,0.7,0.9,0.314199,0.486671,0.968454
0.1,0.7,1,0.300672,0.543309,0.977039
0.1,0.8,0,0.499425,0.102258,0.634704
0.1,0.8,0.1,0.483546,0.125058,0.706605
0.1,0.8,0.2,0.4677,0.15208,0.769493
0.1,0.8,0.3,0.451919,0.183715,0.822291
0.1,0.8,0.4,0.436234,0.220221,0.865116
0.1,0.8,0.5,0.420676,0.261656,0.89889
0.1,0.8,0.6,0.405273,0.30781,0.924941
0.1,0.8,0.7,0.390055,0.358155,0.944692
0.1,0.8,0.8,0.375048,0.411836,0.959474
0.1,0.8,0.9,0.360277,0.4677,0.970429
0.1,0.8,1,0.345767,0.524386,0.978489
0.1,0.9,0,0.550849,0.095485,0.650027
0.1,0.9,0.1,0.535082,0.116971,0.720242
0.1,0.9,0.2,0.519245,0.14253,0.781112
0.1,0.9,0.3,0.50337,0.172583,0.831831
0.1,0.9,0.4,0.487488,0.207439,0.872713
0.1,0.9,0.5,0.471631,0.247232,0.904794
0.1,0.9,0.6,0.45583,0.291847,0.929443
0.1,0.9,0.7,0.440119,0.340868,0.948076
0.1,0.9,0.8,0.424526,0.393546,0.96199
0.1,0.9,0.9,0.409082,0.448822,0.972285
0.1,0.9,1,0.393816,0.505392,0.979849
0.1,1,0,0.601208,0.0891157,0.665048
0.1,1,0.1,0.58588,0.109342,0.733484
0.1,1,0.2,0.570384,0.133486,0.792304
0.1,1,0.3,0.55475,0.161992,0.840958
0.1,1,0.4,0.539006,0.195214,0.879941
0.1,1,0.5,0.523183,0.233352,0.910387
0.1,1,0.6,0.507314,0.276382,0.933694
0.1,1,0.7,0.491431,0.323993,0.951264
0.1,1,0.8,0.475564,0.37555,0.964356
0.1,1,0.9,0.459747,0.430091,0.974027
0.1,1,1,0.444011,0.486383,0.981125
0.2,0,0,0.20133,0.174371,0.500012
0.2,0,0.1,0.191307,0.209497,0.58092
0.2,0,0.2,0.181669,0.24956,0.657697
0.2,0,0.3,0.172413,0.294431,0.727019
0.2,0,0.4,0.163535,0.343675,0.786851
0.2,0,0.5,0.155028,0.396526,0.836519
0.2,0,0.6,0.146886,0.451909,0.87643
0.2,0,0.7,0.139101,0.508509,0.907673
0.2,0,0.8,0.131665,0.564892,0.931633
0.2,0,0.9,0.124569,0.619645,0.94972
0.2,0,1,0.117803,0.671514,0.96321
0.2,0.1,0,0.236566,0.163692,0.516684
0.2,0.1,0.1,0.225283,0.197181,0.597067
0.2,0.1,0.2,0.214387,0.23559,0.672554
0.2,0.1,0.3,0.20388,0.278883,0.740056
0.2,0.1,0.4,0.19376,0.326731,0.797826
0.2,0.1,0.5,0.184027,0.378479,0.845438
0.2,0.1,0.6,0.174676,0.43315,0.883475
0.2,0.1,0.7,0.165705,0.489499,0.913114
0.2,0.1,0.8,0.157106,0.546116,0.935762
0.2,0.1,0.9,0.148874,0.601565,0.952811
0.2,0.1,1,0.141001,0.654525,0.965502
0.2,0.2,0,0.275838,0.153545,0.533318
0.2,0.2,0.1,0.263328,0.185418,0.613007
0.2,0.2,0.2,0.251189,0.222171,0.687073
0.2,0.2,0.3,0.239428,0.263849,0.752682
0.2,0.2,0.4,0.228049,0.310227,0.808373
0.2,0.2,0.5,0.217057,0.360762,0.853956
0.2,0.2,0.6,0.206453,0.414581,0.890169
0.2,0.2,0.7,0.196237,0.470519,0.918262
0.2,0.2,0.8,0.186408,0.527208,0.939657
0.2,0.2,0.9,0.176963,0.583204,0.955722
0.2,0.2,1,0.167898,0.637133,0.967657
0.2,0.3,0,0.318907,0.14392,0.549879
0.2,0.3,0.1,0.305267,0.174206,0.628708
0.2,0.3,0.2,0.291961,0.209307,0.701234
0.2,0.3,0.3,0.279001,0.249345,0.76489
0.2,0.3,0.4,0.266401,0.294192,0.818494
0.2,0.3,0.5,0.254169,0.343416,0.862081
0.2,0.3,0.6,0.242313,0.396251,0.896524
0.2,0.3,0.7,0.230839,0.451624,0.923132
0.2,0.3,0.8,0.219751,0.508222,0.94333
0.2,0.3,0.9,0.20905,0.564609,0.95846
0.2,0.3,1,0.198738,0.619374,0.969681
0.2,0.4,0,0.365308,0.134801,0.566329
0.2,0.4,0.1,0.350705,0.163535,0.644143
0.2,0.4,0.2,0.336377,0.196999,0.71502
0.2,0.4,0.3,0.322344,0.235383,0.776674
0.2,0.4,0.4,0.308624,0.278652,0.828195
0.2,0.4,0.5,0.295233,0.326478,0.869822
0.2,0.4,0.6,0.282187,0.378208,0.90255
0.2,0.4,0.7,0.269496,0.432868,0.927734
0.2,0.4,0.8,0.257172,0.489212,0.946793
0.2,0.4,0.9,0.245222,0.545831,0.961037
0.2,0.4,1,0.233653,0.601289,0.971582
0.2,0.5,0,0.414353,0.126175,0.582635
0.2,0.5,0.1,0.399022,0.153396,0.659283
0.2,0.5,0.2,0.383888,0.185245,0.728416
0.2,0.5,0.3,0.368974,0.221972,0.788031
0.2,0.5,0.4,0.354307,0.263625,0.837481
0.2,0.5,0.5,0.339909,0.309981,0.877192
0.2,0.5,0.6,0.325801,0.360496,0.908262
0.2,0.5,0.7,0.312001,0.414302,0.932081
0.2,0.5,0.8,0.298527,0.470233,0.950055
0.2,0.5,0.9,0.285394,0.526921,0.963459
0.2,0.5,1,0.272614,0.582924,0.973367
0.2,0.6,0,0.465157,0.118026,0.598762
0.2,0.6,0.1,0.449389,0.143778,0.674105
0.2,0.6,0.2,0.433722,0.17404,0.74141
0.2,0.6,0.3,0.418187,0.209116,0.79896
0.2,0.6,0.4,0.402812,0.24913,0.846357
